state,city,population,location
CA,San Mateo,97207,"(37.55182268930, -122.312390346)"
CA,San Ramon,72148,"(37.76237054620, -121.938150371)"
CA,Santa Ana,324528,"(33.73669484190, -117.881890237)"
CA,Santa Barbara,88410,"(34.42857338740, -119.720187334)"
CA,Santa Clara,116468,"(37.36461975040, -121.967932117)"
CA,Santa Clarita,176320,"(34.41190391850, -118.503504698)"
CA,Santa Maria,99553,"(34.93337357570, -120.443326954)"
CA,Santa Monica,89736,"(34.02318916120, -118.481563937)"
CA,Santa Rosa,167815,"(38.44644231020, -122.706005935)"
CA,Simi Valley,124237,"(34.26624628570, -118.748980462)"
CA,South Gate,94396,"(33.94473226640, -118.192550525)"
CA,Stockton,291707,"(37.97663226790, -121.311121669)"
CA,Sunnyvale,140081,"(37.38344165660, -122.025624324)"
CA,Temecula,100097,"(33.50299808840, -117.122390280)"
CA,Thousand Oaks,126683,"(34.19177456550, -118.874888411)"
CA,Torrance,145438,"(33.83459854640, -118.341641983)"
CA,Tracy,82922,"(37.72432773750, -121.444621463)"
CA,Turlock,68549,"(37.50521582710, -120.858762412)"
CA,Tustin,75540,"(33.73085203260, -117.810730968)"
CA,Union City,69516,"(37.60283908120, -122.018966106)"
CA,Upland,73732,"(34.11784457010, -117.660290062)"
CA,Vacaville,92428,"(38.35972350630, -121.969030460)"
CA,Vallejo,115942,"(38.11353292470, -122.235518478)"
CA,Victorville,115903,"(34.52776911030, -117.353855136)"
CA,Visalia,124442,"(36.32706231570, -119.325273214)"
CA,Vista,93834,"(33.18954819780, -117.238607217)"
CA,West Covina,106098,"(34.05544151740, -117.911282060)"
CA,Westminster,89701,"(33.75215237690, -117.993760054)"
CA,Whittier,85331,"(33.96782555960, -118.018796341)"
CO,Arvada,106433,"(39.83082632930, -105.146327974)"
CO,Aurora,325078,"(39.70915947810, -104.726526621)"
CO,Boulder,97385,"(40.02755104940, -105.251517760)"
CO,Centennial,100377,"(39.59287207300, -104.867986891)"
CO,Colorado Springs,416427,"(38.86727480770, -104.760664479)"
CO,Denver,600158,"(39.76202837430, -104.876365322)"
CO,Fort Collins,143986,"(40.54877589240, -105.065904872)"
CO,Greeley,92889,"(40.41413695210, -104.771170982)"
CO,Lakewood,142980,"(39.69767344620, -105.116965444)"
CO,Longmont,86270,"(40.16951647080, -105.101951060)"
CO,Loveland,66859,"(40.41656937580, -105.061758435)"
CO,Pueblo,106595,"(38.27339572510, -104.612001218)"
CO,Thornton,118772,"(39.91939941880, -104.944956758)"
CO,Westminster,106114,"(39.88385114750, -105.062645316)"
CT,Bridgeport,144229,"(41.19280542330, -73.1960546940)"
CT,Danbury,80893,"(41.40158986060, -73.4709386820)"
CT,Hartford,124775,"(41.76607064190, -72.6834012389)"
CT,New Britain,73206,"(41.67592265400, -72.7861630705)"
CT,New Haven,129779,"(41.31138693920, -72.9247595793)"
CT,Norwalk,85603,"(41.11756316820, -73.4224513123)"
CT,Stamford,122643,"(41.10491450130, -73.5589363142)"
CT,Waterbury,110366,"(41.55824432660, -73.0361298320)"
DE,Wilmington,70851,"(39.74127482270, -75.5418960925)"
DC,Washington,601723,"(38.90992414260, -77.0147205666)"
FL,Boca Raton,84392,"(26.37490127150, -80.1078208861)"
FL,Boynton Beach,68217,"(26.52798180520, -80.0814660417)"
FL,Cape Coral,154305,"(26.64485449930, -81.9931108298)"
FL,Clearwater,107685,"(27.98059979190, -82.7544099135)"
